,,coef
ACSM2A,mut_important,-5.616167253474913e-17
ACSM2A,cnv_del,0.0
ACSM2A,cnv_amp,0.0
APBA1,mut_important,-6.52811138479592e-14
APBA1,cnv_del,-5.084821452783217e-14
APBA1,cnv_amp,0.0
NEDD4,mut_important,-3.33510996597397e-13
NEDD4,cnv_del,0.0
NEDD4,cnv_amp,0.0
GPRC5C,mut_important,0.0
GPRC5C,cnv_del,0.0
GPRC5C,cnv_amp,0.0
ASB1,mut_important,7.858158568296858e-13
ASB1,cnv_del,-2.277289468111121e-12
ASB1,cnv_amp,-6.199485369506874e-13
DDB1,mut_important,6.661338147750939e-14
DDB1,cnv_del,-7.838174553853605e-14
DDB1,cnv_amp,3.9968028886505635e-14
SDHAF2,mut_important,0.0
SDHAF2,cnv_del,0.0
SDHAF2,cnv_amp,0.0
SPRY2,mut_important,0.0
SPRY2,cnv_del,0.0
SPRY2,cnv_amp,0.0
PJA2,mut_important,0.0
PJA2,cnv_del,-2.0289325775024736e-14
PJA2,cnv_amp,-5.537237335317968e-15
TMEM184B,mut_important,0.0
TMEM184B,cnv_del,0.0
TMEM184B,cnv_amp,0.0
CBX7,mut_important,0.0
CBX7,cnv_del,0.0
CBX7,cnv_amp,0.0
ATP8A1,mut_important,1.9939605522267811e-13
ATP8A1,cnv_del,-3.5360603334311236e-14
ATP8A1,cnv_amp,4.3520742565306136e-14
DDX3X,mut_important,-8.992806499463768e-14
DDX3X,cnv_del,0.0
DDX3X,cnv_amp,0.0
INPP5A,mut_important,-1.9116652705264414e-15
INPP5A,cnv_del,-4.2327252813834093e-16
INPP5A,cnv_amp,-3.913536161803677e-15
PLAGL1,mut_important,2.975050761300224e-16
PLAGL1,cnv_del,1.3503087537003466e-14
PLAGL1,cnv_amp,2.233456475320139e-15
APOC3,mut_important,0.0
APOC3,cnv_del,-1.794120407794253e-13
APOC3,cnv_amp,7.321920847402907e-14
MTIF3,mut_important,9.58955137519979e-15
MTIF3,cnv_del,0.0
MTIF3,cnv_amp,0.0
OR2AT4,mut_important,0.0
OR2AT4,cnv_del,0.0
OR2AT4,cnv_amp,2.671474153004283e-15
ARNT2,mut_important,-8.958112029944232e-15
