,coef
R-HSA-1855156,0.0
R-HSA-1855167,2.0778599e-14
R-HSA-1855170,0.0
R-HSA-1855183,1.3679444e-07
R-HSA-1855184,0.0
R-HSA-1855191,3.0829897e-15
R-HSA-1855192,0.0
R-HSA-1855196,0.0
R-HSA-1855204,0.000524904
R-HSA-1855215,0.0
R-HSA-1855229,0.0
R-HSA-1855231,0.0
R-HSA-1221632,0.4183777
R-HSA-912446,0.5692497
R-HSA-373753,-0.001498429
R-HSA-391160,-9.48468e-12
R-HSA-2473224,-2.7066609e-13
R-HSA-156581,4.5037216e-15
R-HSA-156582,0.0
R-HSA-174362,0.003465349
R-HSA-2129379,-5.5124968e-08
R-HSA-156902,0.84048307
R-HSA-171306,0.65647346
R-HSA-499943,7.7415345e-05
R-HSA-2151201,-6.497861e-07
R-HSA-2151209,-5.333871e-07
R-HSA-8949613,-4.9846007e-19
R-HSA-1237112,1.7122445e-12
R-HSA-1614603,2.8985398e-17
R-HSA-2028269,1.0240415e-07
R-HSA-2586552,-0.006050431
R-HSA-162699,0.0
R-HSA-162710,-1.1311215e-13
R-HSA-162791,-6.207612e-13
R-HSA-163210,0.0
R-HSA-164378,0.020300316
R-HSA-163358,1.1088726e-19
R-HSA-163680,6.240029e-23
R-HSA-163754,-5.9108097e-21
R-HSA-163765,-1.7756198e-09
R-HSA-163767,6.47369e-07
R-HSA-1663150,3.4887377e-12
R-HSA-204626,1.3985585e-14
R-HSA-5358493,3.885677e-27
R-HSA-8948216,6.8484184e-08
R-HSA-165181,2.933718e-18
R-HSA-166208,-0.0052012363
R-HSA-380972,-0.0054515246
R-HSA-166665,0.00013137101
R-HSA-174577,0.0
R-HSA-977606,0.05327027
R-HSA-1222556,-0.116211265
R-HSA-6798695,28.46212
R-HSA-879415,4.5710137e-15
R-HSA-168638,0.6853812
R-HSA-1679131,0.00038903207
R-HSA-5686938,0.18156601
R-HSA-918233,4.208957e-06
R-HSA-933541,-0.032868933
R-HSA-933542,0.5852095
R-HSA-933543,0.07573108
R-HSA-936440,0.477979
R-HSA-211728,-6.043325e-12
R-HSA-211733,-2.1340202e-05
R-HSA-2173791,0.0006801868
R-HSA-179812,3.4855617e-05
R-HSA-180292,-1.5519006e-05
R-HSA-180336,4.4633515e-09
R-HSA-182971,-7.7588436e-10
R-HSA-212718,4.4852845e-07
R-HSA-3134963,7.240221e-14
R-HSA-3134973,0.0011247408
R-HSA-210744,0.00016766367
R-HSA-210746,-4.1691306e-16
R-HSA-210747,0.0
R-HSA-186763,0.0
R-HSA-189451,1.5079236e-09
R-HSA-189483,9.114024e-08
R-HSA-1912399,-8.71343e-16
R-HSA-1912408,1.8054578
R-HSA-1912420,0.14272496
R-HSA-193670,-4.5031948e-06
R-HSA-193681,-6.811768e-12
R-HSA-193692,-7.2158604e-05
R-HSA-205017,-1.61416e-12
R-HSA-194306,0.0
R-HSA-194840,3.1662714
R-HSA-191859,-2.6889558e-13
R-HSA-196299,0.7434735
R-HSA-4641265,0.11972227
R-HSA-5625900,1.5928263e-14
R-HSA-5625970,0.021380307
R-HSA-5626467,4.317705e-11
R-HSA-5627083,8.257613e-30
R-HSA-5627117,2.7180974e-08
R-HSA-5627123,3.852914e-06
R-HSA-5663213,0.81272197
R-HSA-5663220,1.3677951
R-HSA-5666185,-2.977754e-12
R-HSA-5668599,7.584484e-11
R-HSA-3238698,0.0027935246
R-HSA-196741,-1.2478028e-18
R-HSA-196757,-7.051208e-17
R-HSA-196780,-1.349676e-19
R-HSA-196819,-1.4836781e-16
R-HSA-196836,1.9356736e-13
R-HSA-196843,2.2904648e-25
R-HSA-947581,-4.43625e-21
R-HSA-964975,1.3714826e-19
R-HSA-2122947,0.027264217
R-HSA-2122948,0.003007572
R-HSA-2197563,1.0194223e-10
R-HSA-2979096,-6.102317e-10
R-HSA-204005,0.0
R-HSA-5694530,0.47722483
R-HSA-6807878,1.1207798
R-HSA-1445148,1.2818172
R-HSA-917729,0.5045324
R-HSA-201688,-8.9065485e-13
R-HSA-3769402,1.2180022
R-HSA-3772470,-8.805975e-07
