,,coef
PUS7,mut_important,0.0
PUS7,cnv_del,0.0
PUS7,cnv_amp,0.0
POLR3F,mut_important,-0.0036005974
POLR3F,cnv_del,0.0037088227
POLR3F,cnv_amp,0.054810848
LRRC29,mut_important,0.0
LRRC29,cnv_del,0.0
LRRC29,cnv_amp,0.0
EHF,mut_important,0.0
EHF,cnv_del,0.0
EHF,cnv_amp,0.0
TCP10,mut_important,0.0
TCP10,cnv_del,0.0
TCP10,cnv_amp,0.0
EHD4,mut_important,0.0
EHD4,cnv_del,0.0
EHD4,cnv_amp,0.0
IP6K1,mut_important,0.0
IP6K1,cnv_del,1.2960365e-24
IP6K1,cnv_amp,8.073449e-24
FAM78B,mut_important,0.0
FAM78B,cnv_del,0.0
FAM78B,cnv_amp,0.0
CDC16,mut_important,0.055585675
CDC16,cnv_del,0.42941192
CDC16,cnv_amp,0.28250194
LRP1B,mut_important,0.0
LRP1B,cnv_del,0.0
LRP1B,cnv_amp,0.0
SH3TC1,mut_important,0.0
SH3TC1,cnv_del,0.0
SH3TC1,cnv_amp,0.0
YTHDF2,mut_important,0.0
YTHDF2,cnv_del,0.0
YTHDF2,cnv_amp,0.0
GDAP1L1,mut_important,0.0
GDAP1L1,cnv_del,0.0
GDAP1L1,cnv_amp,0.0
TNNT1,mut_important,1.0918233e-37
TNNT1,cnv_del,0.0
TNNT1,cnv_amp,-6.265119e-35
NAALADL1,mut_important,0.0
NAALADL1,cnv_del,0.0
NAALADL1,cnv_amp,0.0
VDR,mut_important,-1.3158451e-05
VDR,cnv_del,-5.926118e-07
VDR,cnv_amp,0.003067173
DEF8,mut_important,0.0
DEF8,cnv_del,0.0
DEF8,cnv_amp,0.0
HMBS,mut_important,-1.2702101e-23
HMBS,cnv_del,1.6889082e-24
HMBS,cnv_amp,2.007364e-24
PANK4,mut_important,8.176255e-27
PANK4,cnv_del,2.8359929e-27
PANK4,cnv_amp,-4.5322755e-26
MTHFR,mut_important,-6.4274184e-17
MTHFR,cnv_del,-8.5255176e-17
MTHFR,cnv_amp,-7.5091963e-19
CYP11B1,mut_important,0.0009358193
CYP11B1,cnv_del,-0.00012129586
CYP11B1,cnv_amp,0.009649734
TRMT61B,mut_important,6.1285105e-25
TRMT61B,cnv_del,-4.005389e-23
TRMT61B,cnv_amp,-9.78551e-24
ZNF775,mut_important,0.0
ZNF775,cnv_del,0.0
ZNF775,cnv_amp,0.0
TACSTD2,mut_important,0.0
TACSTD2,cnv_del,0.0
TACSTD2,cnv_amp,0.0
FAM102B,mut_important,0.0
FAM102B,cnv_del,0.0
FAM102B,cnv_amp,0.0
NKTR,mut_important,0.0
NKTR,cnv_del,0.0
NKTR,cnv_amp,0.0
NOMO3,mut_important,0.0
NOMO3,cnv_del,0.0
NOMO3,cnv_amp,0.0
CCR10,mut_important,0.0
CCR10,cnv_del,-3.732648e-05
CCR10,cnv_amp,0.00035167814
B4GALT2,mut_important,9.539862e-09
B4GALT2,cnv_del,1.9024093e-10
B4GALT2,cnv_amp,4.029036e-11
IL17RC,mut_important,0.0
IL17RC,cnv_del,0.0
IL17RC,cnv_amp,0.0
PSMA8,mut_important,-0.3402396
PSMA8,cnv_del,0.06452037
PSMA8,cnv_amp,-0.1647174
OR2T2,mut_important,0.0
OR2T2,cnv_del,0.0
OR2T2,cnv_amp,0.0
SP3,mut_important,-0.004447297
SP3,cnv_del,0.0051408396
SP3,cnv_amp,-0.00016047987
ZNF233,mut_important,0.0
ZNF233,cnv_del,0.0
ZNF233,cnv_amp,0.0
USP15,mut_important,-0.04788394
USP15,cnv_del,-0.005579439
USP15,cnv_amp,-0.047248907
OCM2,mut_important,0.0
OCM2,cnv_del,0.0
OCM2,cnv_amp,0.0
EPDR1,mut_important,0.0
EPDR1,cnv_del,0.0
EPDR1,cnv_amp,0.0
CTTNBP2NL,mut_important,0.0
CTTNBP2NL,cnv_del,0.0
CTTNBP2NL,cnv_amp,0.0
CHGA,mut_important,0.0
CHGA,cnv_del,0.0
CHGA,cnv_amp,0.0
VKORC1L1,mut_important,-1.4797363e-13
VKORC1L1,cnv_del,-1.7138699e-14
VKORC1L1,cnv_amp,-2.8623184e-13
CUL1,mut_important,-0.068315655
CUL1,cnv_del,-0.028092828
CUL1,cnv_amp,4.987954
TTLL7,mut_important,-1.732093e-15
TTLL7,cnv_del,-1.8554465e-14
TTLL7,cnv_amp,3.5014137e-19
NOS1AP,mut_important,0.0
NOS1AP,cnv_del,0.0
NOS1AP,cnv_amp,0.0
CEPT1,mut_important,5.686392e-17
CEPT1,cnv_del,-1.9468144e-18
CEPT1,cnv_amp,7.547372e-18
UHRF1BP1L,mut_important,0.0
UHRF1BP1L,cnv_del,0.0
UHRF1BP1L,cnv_amp,0.0
PSEN2,mut_important,-0.0048624417
PSEN2,cnv_del,-0.039649617
PSEN2,cnv_amp,0.06244285
TNFAIP3,mut_important,0.09197438
TNFAIP3,cnv_del,0.06272985
TNFAIP3,cnv_amp,0.07374682
EML2,mut_important,0.0
EML2,cnv_del,0.0
EML2,cnv_amp,0.0
KLHL11,mut_important,0.34875268
KLHL11,cnv_del,-0.01827116
KLHL11,cnv_amp,0.038129702
HSD17B7,mut_important,0.0
HSD17B7,cnv_del,0.0
HSD17B7,cnv_amp,0.0
THAP4,mut_important,0.0
THAP4,cnv_del,0.0
THAP4,cnv_amp,0.0
ZFP28,mut_important,0.0
ZFP28,cnv_del,0.0
ZFP28,cnv_amp,0.0
HPS4,mut_important,7.550402e-08
HPS4,cnv_del,7.010821e-07
HPS4,cnv_amp,2.7264587e-08
KDM1B,mut_important,-3.0370757e-07
KDM1B,cnv_del,5.1888076e-09
KDM1B,cnv_amp,7.213301e-08
COX11,mut_important,0.0
COX11,cnv_del,0.0
COX11,cnv_amp,0.0
FUCA2,mut_important,-0.02393585
FUCA2,cnv_del,-0.045671392
FUCA2,cnv_amp,0.24025813
RUSC2,mut_important,0.0
RUSC2,cnv_del,0.0
RUSC2,cnv_amp,0.0
GART,mut_important,1.068846e-18
GART,cnv_del,0.0
GART,cnv_amp,-1.3455271e-18
BET1,mut_important,-0.008143638
BET1,cnv_del,-0.0019424
BET1,cnv_amp,-0.09273341
SNRNP27,mut_important,-0.009799476
SNRNP27,cnv_del,-0.0008919832
SNRNP27,cnv_amp,-0.0018106768
ATP6V1H,mut_important,-0.010694174
ATP6V1H,cnv_del,0.0046320967
ATP6V1H,cnv_amp,-0.622119
DDX27,mut_important,0.0
DDX27,cnv_del,0.0
DDX27,cnv_amp,0.0
PRTFDC1,mut_important,0.0
PRTFDC1,cnv_del,0.0
PRTFDC1,cnv_amp,0.0
ZNF564,mut_important,0.0
ZNF564,cnv_del,0.0
ZNF564,cnv_amp,0.0
MYRIP,mut_important,1.4648396e-12
MYRIP,cnv_del,0.0
MYRIP,cnv_amp,6.243288e-15
HBA2,mut_important,0.0
HBA2,cnv_del,0.0
HBA2,cnv_amp,0.0
WRNIP1,mut_important,0.0
WRNIP1,cnv_del,0.0
WRNIP1,cnv_amp,0.0
ARFGAP2,mut_important,-0.013276454
ARFGAP2,cnv_del,-0.03378523
ARFGAP2,cnv_amp,0.0020373217
RBM39,mut_important,0.0
RBM39,cnv_del,0.0
RBM39,cnv_amp,0.0
MRPS9,mut_important,0.00049128593
MRPS9,cnv_del,0.00058817276
MRPS9,cnv_amp,0.00026899436
VLDLR,mut_important,1.387961e-16
VLDLR,cnv_del,1.6177602e-15
VLDLR,cnv_amp,5.093301e-17
TMEM17,mut_important,0.0
TMEM17,cnv_del,0.0
TMEM17,cnv_amp,0.0
MBD5,mut_important,0.31176564
MBD5,cnv_del,-0.055498987
MBD5,cnv_amp,-0.025737911
RPP30,mut_important,0.0051126285
RPP30,cnv_del,-0.24662536
RPP30,cnv_amp,-0.11365196
LPAR2,mut_important,9.6279145e-09
