,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
MRFAP1,cnv_del,0.0,0.0,0.0,0.0,0.0
MRFAP1,cnv_amp,0.0,0.0,0.0,0.0,0.0
CARD6,mut_important,0.0,0.0,0.0,0.0,0.0
CARD6,cnv_del,0.0,0.0,0.0,0.0,0.0
CARD6,cnv_amp,0.0,0.0,0.0,0.0,0.0
HES3,mut_important,0.0,0.0,0.0,0.0,0.0
HES3,cnv_del,0.0,0.0,0.0,0.0,0.0
HES3,cnv_amp,0.0,0.0,0.0,0.0,0.0
SP2,mut_important,0.0,0.0,0.0,0.0,0.0
SP2,cnv_del,0.0,0.0,0.0,0.0,0.0
SP2,cnv_amp,0.0,0.0,0.0,0.0,0.0
CYCS,mut_important,0.0014412953,3.1293483e-05,0.00040196703,0.0007753886,0.0
CYCS,cnv_del,0.0,0.0,0.0,0.0,0.0
CYCS,cnv_amp,0.19840008,0.0078485655,0.13034661,0.15710445,0.16572975
ZNF575,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF575,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF575,cnv_amp,0.0,0.0,0.0,0.0,0.0
HS6ST1,mut_important,0.0423491,3.541691e-11,0.0011525382,8.389446e-09,5.9722427e-10
HS6ST1,cnv_del,0.06019096,2.427633e-11,0.0011059452,2.0404405e-08,1.2748121e-09
HS6ST1,cnv_amp,0.007979,1.3868791e-12,1.6076505e-05,8.3376317e-10,3.0729568e-11
TRIML2,mut_important,0.0,0.0,0.0,0.0,0.0
TRIML2,cnv_del,0.0,0.0,0.0,0.0,0.0
TRIML2,cnv_amp,0.0,0.0,0.0,0.0,0.0
