,,0,1
CARD6,mut_important,CARD6,mut_important
CARD6,cnv_del,CARD6,cnv_del
CARD6,cnv_amp,CARD6,cnv_amp
HES3,mut_important,HES3,mut_important
HES3,cnv_del,HES3,cnv_del
HES3,cnv_amp,HES3,cnv_amp
SP2,mut_important,SP2,mut_important
SP2,cnv_del,SP2,cnv_del
SP2,cnv_amp,SP2,cnv_amp
CYCS,mut_important,CYCS,mut_important
CYCS,cnv_del,CYCS,cnv_del
CYCS,cnv_amp,CYCS,cnv_amp
ZNF575,mut_important,ZNF575,mut_important
ZNF575,cnv_del,ZNF575,cnv_del
ZNF575,cnv_amp,ZNF575,cnv_amp
HS6ST1,mut_important,HS6ST1,mut_important
HS6ST1,cnv_del,HS6ST1,cnv_del
HS6ST1,cnv_amp,HS6ST1,cnv_amp
TRIML2,mut_important,TRIML2,mut_important
TRIML2,cnv_del,TRIML2,cnv_del
TRIML2,cnv_amp,TRIML2,cnv_amp
LRRC8D,mut_important,LRRC8D,mut_important
LRRC8D,cnv_del,LRRC8D,cnv_del
LRRC8D,cnv_amp,LRRC8D,cnv_amp
CRAT,mut_important,CRAT,mut_important
CRAT,cnv_del,CRAT,cnv_del
CRAT,cnv_amp,CRAT,cnv_amp
OMG,mut_important,OMG,mut_important
OMG,cnv_del,OMG,cnv_del
OMG,cnv_amp,OMG,cnv_amp
CSRP3,mut_important,CSRP3,mut_important
CSRP3,cnv_del,CSRP3,cnv_del
CSRP3,cnv_amp,CSRP3,cnv_amp
DYNLL2,mut_important,DYNLL2,mut_important
DYNLL2,cnv_del,DYNLL2,cnv_del
DYNLL2,cnv_amp,DYNLL2,cnv_amp
PIP5KL1,mut_important,PIP5KL1,mut_important
PIP5KL1,cnv_del,PIP5KL1,cnv_del
PIP5KL1,cnv_amp,PIP5KL1,cnv_amp
FOXP4,mut_important,FOXP4,mut_important
FOXP4,cnv_del,FOXP4,cnv_del
FOXP4,cnv_amp,FOXP4,cnv_amp
KLK4,mut_important,KLK4,mut_important
KLK4,cnv_del,KLK4,cnv_del
KLK4,cnv_amp,KLK4,cnv_amp
COASY,mut_important,COASY,mut_important
COASY,cnv_del,COASY,cnv_del
COASY,cnv_amp,COASY,cnv_amp
ZNF138,mut_important,ZNF138,mut_important
ZNF138,cnv_del,ZNF138,cnv_del
ZNF138,cnv_amp,ZNF138,cnv_amp
CLK2,mut_important,CLK2,mut_important
CLK2,cnv_del,CLK2,cnv_del
CLK2,cnv_amp,CLK2,cnv_amp
FADD,mut_important,FADD,mut_important
FADD,cnv_del,FADD,cnv_del
FADD,cnv_amp,FADD,cnv_amp
CYP8B1,mut_important,CYP8B1,mut_important
CYP8B1,cnv_del,CYP8B1,cnv_del
CYP8B1,cnv_amp,CYP8B1,cnv_amp
ATG16L2,mut_important,ATG16L2,mut_important
ATG16L2,cnv_del,ATG16L2,cnv_del
ATG16L2,cnv_amp,ATG16L2,cnv_amp
IL1A,mut_important,IL1A,mut_important
IL1A,cnv_del,IL1A,cnv_del
IL1A,cnv_amp,IL1A,cnv_amp
CC2D1B,mut_important,CC2D1B,mut_important
CC2D1B,cnv_del,CC2D1B,cnv_del
CC2D1B,cnv_amp,CC2D1B,cnv_amp
DMC1,mut_important,DMC1,mut_important
DMC1,cnv_del,DMC1,cnv_del
DMC1,cnv_amp,DMC1,cnv_amp
PHC2,mut_important,PHC2,mut_important
PHC2,cnv_del,PHC2,cnv_del
PHC2,cnv_amp,PHC2,cnv_amp
ERLEC1,mut_important,ERLEC1,mut_important
ERLEC1,cnv_del,ERLEC1,cnv_del
ERLEC1,cnv_amp,ERLEC1,cnv_amp
