,,coef
FAM49B,cnv_del,0.054296993
FAM49B,cnv_amp,0.5233124
STAB2,mut_important,4.41889e-08
STAB2,cnv_del,0.0
STAB2,cnv_amp,0.0
ST6GALNAC6,mut_important,0.0
ST6GALNAC6,cnv_del,0.0
ST6GALNAC6,cnv_amp,0.0
NOC3L,mut_important,0.0
NOC3L,cnv_del,0.0
NOC3L,cnv_amp,0.0
QRICH1,mut_important,0.0
QRICH1,cnv_del,0.0
QRICH1,cnv_amp,0.0
B3GALNT2,mut_important,0.0
B3GALNT2,cnv_del,0.0
B3GALNT2,cnv_amp,0.0
OR2T29,mut_important,0.0
OR2T29,cnv_del,-0.00024945932
OR2T29,cnv_amp,-0.0012657905
TMEM242,mut_important,0.0
TMEM242,cnv_del,0.0
TMEM242,cnv_amp,0.0
SPRR2E,mut_important,-2.392602e-05
SPRR2E,cnv_del,-0.00010193904
SPRR2E,cnv_amp,0.0005524118
ZNF32,mut_important,0.0
ZNF32,cnv_del,0.0
ZNF32,cnv_amp,0.0
TTC21A,mut_important,0.0
TTC21A,cnv_del,0.0
TTC21A,cnv_amp,0.0
NSUN2,mut_important,0.0
NSUN2,cnv_del,0.0
NSUN2,cnv_amp,0.0
TTC14,mut_important,0.0
TTC14,cnv_del,0.0
TTC14,cnv_amp,0.0
RNF126,mut_important,7.014922e-06
RNF126,cnv_del,0.0
RNF126,cnv_amp,0.0
LRRN3,mut_important,0.0
LRRN3,cnv_del,0.0
LRRN3,cnv_amp,0.0
BLCAP,mut_important,0.0
BLCAP,cnv_del,0.0
BLCAP,cnv_amp,0.0
NKX1-2,mut_important,0.0
NKX1-2,cnv_del,0.0
NKX1-2,cnv_amp,0.0
NR6A1,mut_important,-0.0011418958
NR6A1,cnv_del,-4.3528074e-05
NR6A1,cnv_amp,0.0072981864
TRIM3,mut_important,0.0
TRIM3,cnv_del,0.0
TRIM3,cnv_amp,0.0
TBC1D8B,mut_important,-1.3981893e-10
TBC1D8B,cnv_del,0.0
TBC1D8B,cnv_amp,0.0
ESX1,mut_important,0.0
ESX1,cnv_del,0.0
ESX1,cnv_amp,0.0
ZNHIT2,mut_important,0.0
ZNHIT2,cnv_del,0.0
ZNHIT2,cnv_amp,0.0
PDXDC1,mut_important,0.0
PDXDC1,cnv_del,0.0
PDXDC1,cnv_amp,0.0
ANXA2,mut_important,-0.0074271504
ANXA2,cnv_del,0.0
ANXA2,cnv_amp,0.0
PLCD3,mut_important,-2.4560954e-12
PLCD3,cnv_del,0.0
PLCD3,cnv_amp,0.0
CCDC74A,mut_important,0.0
CCDC74A,cnv_del,0.0
CCDC74A,cnv_amp,0.0
TRUB1,mut_important,0.0
TRUB1,cnv_del,0.0
TRUB1,cnv_amp,0.0
CASQ1,mut_important,0.0
CASQ1,cnv_del,0.0
CASQ1,cnv_amp,0.0
BCCIP,mut_important,0.0
BCCIP,cnv_del,0.0
BCCIP,cnv_amp,0.0
THAP10,mut_important,0.0
THAP10,cnv_del,0.0
THAP10,cnv_amp,0.0
SNX19,mut_important,0.0
SNX19,cnv_del,0.0
SNX19,cnv_amp,0.0
KLHL32,mut_important,0.0
KLHL32,cnv_del,0.0
KLHL32,cnv_amp,0.0
WDR88,mut_important,0.0
WDR88,cnv_del,0.0
WDR88,cnv_amp,0.0
CDC123,mut_important,0.0
CDC123,cnv_del,0.0
CDC123,cnv_amp,0.0
MARK2,mut_important,0.0
MARK2,cnv_del,0.0
MARK2,cnv_amp,0.0
GALNT10,mut_important,0.0
GALNT10,cnv_del,0.0
GALNT10,cnv_amp,0.0
DUSP12,mut_important,0.0
DUSP12,cnv_del,0.0
DUSP12,cnv_amp,0.0
CENPH,mut_important,0.0
CENPH,cnv_del,0.58923507
CENPH,cnv_amp,0.2901537
MPV17,mut_important,0.0
MPV17,cnv_del,0.0
MPV17,cnv_amp,0.0
BRIP1,mut_important,0.18317369
BRIP1,cnv_del,0.0
BRIP1,cnv_amp,0.0
TCP1,mut_important,-0.002600311
TCP1,cnv_del,0.005832688
TCP1,cnv_amp,-0.002614659
HAS1,mut_important,3.0472655e-31
HAS1,cnv_del,0.0
HAS1,cnv_amp,0.0
ESF1,mut_important,0.0
ESF1,cnv_del,0.0
ESF1,cnv_amp,0.0
CBS,mut_important,3.840938e-12
CBS,cnv_del,0.0
CBS,cnv_amp,0.0
CDR2L,mut_important,0.0
CDR2L,cnv_del,0.0
CDR2L,cnv_amp,0.0
YTHDC1,mut_important,0.0
YTHDC1,cnv_del,0.0
YTHDC1,cnv_amp,0.0
NAA15,mut_important,0.0
NAA15,cnv_del,0.0
NAA15,cnv_amp,0.0
DDX27,mut_important,0.0
DDX27,cnv_del,0.0
DDX27,cnv_amp,0.0
GPR83,mut_important,0.0
GPR83,cnv_del,0.0
GPR83,cnv_amp,0.0
NEXN,mut_important,0.0
NEXN,cnv_del,0.0
NEXN,cnv_amp,0.0
RNF169,mut_important,0.0
RNF169,cnv_del,0.0
RNF169,cnv_amp,0.0
OR1S2,mut_important,0.0
