,,decision_tree_fold_0,decision_tree_fold_1,decision_tree_fold_2,decision_tree_fold_3,decision_tree_fold_4
PRPF38B,mut_important,0.0,0.0,0.0,0.0,0.0
PRPF38B,cnv_del,0.0,0.0,0.0,0.0,0.0
PRPF38B,cnv_amp,0.0,0.0,0.0,0.0,0.0
RFC5,mut_important,0.0,0.0,0.0,0.0,0.0
RFC5,cnv_del,0.0,0.0,0.0,0.0,0.0
RFC5,cnv_amp,0.0,0.0,0.0,0.0,0.0
CTNNA2,mut_important,0.0,0.0,0.0,0.0,0.0
CTNNA2,cnv_del,0.0,0.0,0.0,0.0,0.0
CTNNA2,cnv_amp,0.0,0.0,0.0,0.0,0.0
DGAT2,mut_important,0.0,0.0,0.0,0.0,0.0
DGAT2,cnv_del,0.0,0.0,0.0,0.0,0.0
DGAT2,cnv_amp,0.0,0.0,0.0,0.0,0.0
UPK1B,mut_important,0.0,0.0,0.0,0.0,0.0
UPK1B,cnv_del,0.0,0.0,0.0,0.0,0.0
UPK1B,cnv_amp,0.0,0.0,0.0,0.0,0.0
FARS2,mut_important,0.0,0.0,0.0,0.0,0.0
FARS2,cnv_del,0.0,0.0,0.0,0.0,0.0
FARS2,cnv_amp,0.0,0.0,0.0,0.0,0.0
NUCB1,mut_important,0.0,0.0,0.0,0.0,0.0
NUCB1,cnv_del,0.0,0.0,0.0,0.0,0.0
NUCB1,cnv_amp,0.0,0.0,0.0,0.0,0.0
NOS1AP,mut_important,0.0,0.0,0.0,0.0,0.0
NOS1AP,cnv_del,0.0,0.0,0.0,0.0,0.0
NOS1AP,cnv_amp,0.0,0.0,0.0,0.0,0.0
PIGC,mut_important,0.0,0.0,0.0,0.0,0.0
PIGC,cnv_del,0.0,0.0,0.0,0.0,0.0
PIGC,cnv_amp,0.0,0.0,0.0,0.0,0.0
MCPH1,mut_important,0.0,0.0,0.0,0.0,0.0
MCPH1,cnv_del,0.0,0.0,0.0,0.0,0.0
MCPH1,cnv_amp,0.0,0.0,0.0,0.0,0.0
PMP22,mut_important,0.0,0.0,0.0,0.0,0.0
PMP22,cnv_del,0.0,0.0,0.0,0.0,0.0
PMP22,cnv_amp,0.0,0.0,0.0,0.0,0.0
LRRC15,mut_important,0.0,0.0,0.0,0.0,0.0
LRRC15,cnv_del,0.0,0.0,0.0,0.0,0.0
LRRC15,cnv_amp,0.0,0.0,0.0,0.0,0.0
BBS9,mut_important,0.0,0.0,0.0,0.0,0.0
BBS9,cnv_del,0.0,0.0,0.0,0.0,0.0
BBS9,cnv_amp,0.0,0.0,0.0,0.0,0.0
AIMP1,mut_important,0.0,0.0,0.0,0.0,0.0
AIMP1,cnv_del,0.0,0.0,0.0,0.0,0.0
AIMP1,cnv_amp,0.0,0.0,0.0,0.0,0.0
UBE2V1,mut_important,0.0,0.0,0.0,0.0,0.0
UBE2V1,cnv_del,0.0,0.0,0.0,0.0,0.0
UBE2V1,cnv_amp,0.0,0.0,0.0,0.0,0.0
QSER1,mut_important,0.0,0.0,0.0,0.0,0.0
QSER1,cnv_del,0.0,0.0,0.0,0.0,0.0
QSER1,cnv_amp,0.0,0.0,0.0,0.0,0.0
UTP15,mut_important,0.0,0.0,0.0,0.0,0.0
UTP15,cnv_del,0.0,0.0,0.0,0.0,0.0
UTP15,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZNF227,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF227,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF227,cnv_amp,0.0,0.0,0.0,0.0,0.0
NEURL4,mut_important,0.0,0.0,0.0,0.0,0.0
NEURL4,cnv_del,0.0,0.0,0.0,0.0,0.0
NEURL4,cnv_amp,0.0,0.0,0.0,0.0,0.0
GFPT2,mut_important,0.0,0.0,0.0,0.0,0.0
GFPT2,cnv_del,0.0,0.0,0.0,0.0,0.0
GFPT2,cnv_amp,0.0,0.0,0.0,0.0,0.0
RIT1,mut_important,0.0,0.0,0.0,0.0,0.0
RIT1,cnv_del,0.0,0.0,0.0,0.0,0.0
RIT1,cnv_amp,0.0,0.0,0.0,0.0,0.0
SEMA3G,mut_important,0.0,0.0,0.0,0.0,0.0
SEMA3G,cnv_del,0.0,0.0,0.0,0.0,0.0
SEMA3G,cnv_amp,0.0,0.0,0.0,0.0,0.0
ELK3,mut_important,0.0,0.0,0.0,0.0,0.0
ELK3,cnv_del,0.0,0.0,0.0,0.0,0.0
ELK3,cnv_amp,0.0,0.0,0.0,0.0,0.0
POLR2B,mut_important,0.0,0.0,0.0,0.0,0.0
POLR2B,cnv_del,0.0,0.0,0.0,0.0,0.0
POLR2B,cnv_amp,0.0,0.0,0.0,0.0,0.0
NKX2-5,mut_important,0.0,0.0,0.0,0.0,0.0
NKX2-5,cnv_del,0.0,0.0,0.0,0.0,0.0
NKX2-5,cnv_amp,0.0,0.0,0.0,0.0,0.0
XYLT1,mut_important,0.0,0.0,0.0,0.0,0.0
XYLT1,cnv_del,0.0,0.0,0.0,0.0,0.0
XYLT1,cnv_amp,0.0,0.0,0.0,0.0,0.0
CDRT4,mut_important,0.0,0.0,0.0,0.0,0.0
CDRT4,cnv_del,0.0,0.0,0.0,0.0,0.0
CDRT4,cnv_amp,0.0,0.0,0.0,0.0,0.0
DHRS2,mut_important,0.0,0.0,0.0,0.0,0.0
DHRS2,cnv_del,0.0,0.0,0.0,0.0,0.0
DHRS2,cnv_amp,0.0,0.0,0.0,0.0,0.0
ANKRD34A,mut_important,0.0,0.0,0.0,0.0,0.0
ANKRD34A,cnv_del,0.0,0.0,0.0,0.0,0.0
ANKRD34A,cnv_amp,0.0,0.0,0.0,0.0,0.0
CRYBG3,mut_important,0.0,0.0,0.0,0.0,0.0
CRYBG3,cnv_del,0.0,0.0,0.0,0.0,0.0
CRYBG3,cnv_amp,0.0,0.0,0.0,0.0,0.0
FAM69A,mut_important,0.0,0.0,0.0,0.0,0.0
FAM69A,cnv_del,0.0,0.0,0.0,0.0,0.0
FAM69A,cnv_amp,0.0,0.0,0.0,0.0,0.0
ITGB5,mut_important,0.0,0.0,0.0,0.0,0.0
ITGB5,cnv_del,0.0,0.0,0.0,0.0,0.0
ITGB5,cnv_amp,0.0,0.0,0.0,0.0,0.0
LCE1E,mut_important,0.0,0.0,0.0,0.0,0.0
LCE1E,cnv_del,0.0,0.0,0.0,0.0,0.0
LCE1E,cnv_amp,0.0,0.0,0.0,0.0,0.0
BCL9L,mut_important,0.0,0.0,0.0,0.0,0.0
BCL9L,cnv_del,0.0,0.0,0.0,0.0,0.0
BCL9L,cnv_amp,0.0,0.0,0.0,0.0,0.0
MTMR3,mut_important,0.0,0.0,0.0,0.0,0.0
MTMR3,cnv_del,0.0,0.0,0.0,0.0,0.0
MTMR3,cnv_amp,0.0,0.0,0.0,0.0,0.0
ARHGAP8,mut_important,0.0,0.0,0.0,0.0,0.0
ARHGAP8,cnv_del,0.0,0.0,0.0,0.0,0.0
ARHGAP8,cnv_amp,0.0,0.0,0.0,0.0,0.0
GPATCH1,mut_important,0.0,0.0,0.0,0.0,0.0
GPATCH1,cnv_del,0.0,0.0,0.0,0.0,0.0
GPATCH1,cnv_amp,0.0,0.0,0.0,0.0,0.0
PARS2,mut_important,0.0,0.0,0.0,0.0,0.0
PARS2,cnv_del,0.0,0.0,0.0,0.0,0.0
PARS2,cnv_amp,0.0,0.0,0.0,0.0,0.0
RRAD,mut_important,0.0,0.0,0.0,0.0,0.0
RRAD,cnv_del,0.0,0.0,0.0,0.0,0.0
RRAD,cnv_amp,0.0,0.0,0.0,0.0,0.0
RAD9B,mut_important,0.0,0.0,0.0,0.0,0.0
RAD9B,cnv_del,0.0,0.0,0.0,0.0,0.0
RAD9B,cnv_amp,0.0,0.0,0.0,0.0,0.0
LAPTM4B,mut_important,0.0,0.0,0.0,0.0,0.0
LAPTM4B,cnv_del,0.0,0.0,0.0,0.0,0.0
LAPTM4B,cnv_amp,0.0,0.0,0.0,0.0,0.0
GTF3C3,mut_important,0.0,0.0,0.0,0.0,0.0
GTF3C3,cnv_del,0.0,0.0,0.0,0.0,0.0
GTF3C3,cnv_amp,0.0,0.0,0.0,0.0,0.0
GNB2,mut_important,0.0,0.0,0.0,0.0,0.0
GNB2,cnv_del,0.0,0.0,0.0,0.0,0.0
GNB2,cnv_amp,0.0,0.0,0.0,0.0,0.0
AXL,mut_important,0.0,0.0,0.0,0.0,0.0
AXL,cnv_del,0.0,0.0,0.0,0.0,0.0
AXL,cnv_amp,0.0,0.0,0.0,0.0,0.0
RNF121,mut_important,0.0,0.0,0.0,0.0,0.0
RNF121,cnv_del,0.0,0.0,0.0,0.0,0.0
RNF121,cnv_amp,0.0,0.0,0.0,0.0,0.0
FICD,mut_important,0.0,0.0,0.0,0.0,0.0
