GSEA,Program
0.27809113,4.1197267819370606e-12
-0.29212344,4.114442120339845e-12
-0.36536387,4.089706351351197e-12
0.27432907,4.055600300034712e-12
-0.033483963,4.015131330442189e-12
0.119876094,4.0031089554304356e-12
-0.21991849,3.997513431386324e-12
-0.05264664,3.993605446339643e-12
-0.17411825,3.992439712163786e-12
0.27154,3.9877434687696224e-12
-0.060218825999999996,3.983544050178977e-12
0.045359384,3.974520712546337e-12
0.2664252,3.943334547784616e-12
-0.19863033,3.900825495950498e-12
-0.44232708,3.867994813333553e-12
0.17921463,3.855227248550364e-12
0.219877,3.8523476075802424e-12
0.6515689,3.8095970822382716e-12
-0.08660251,3.797970572478986e-12
-0.16696481,3.768596545938863e-12
0.33292523,3.75370845517864e-12
-0.21880594,3.736577713908674e-12
0.21861742,3.711414509055544e-12
-0.10430744,3.701428052949041e-12
0.37022343,3.695088679478431e-12
0.13671699,3.648770174891068e-12
0.19632334,3.610001186871159e-12
-0.30846626,3.6078094667584686e-12
0.09639869999999999,3.6052050234047774e-12
0.13808797,3.603073395197498e-12
-0.06786685,3.588596086956386e-12
0.2286235,3.581845930966665e-12
0.26240915,3.575983953396644e-12
-0.46171492,3.573497053821484e-12
0.021682216,3.573408235979514e-12
-0.8348591000000001,3.5635018482034487e-12
-0.17154628,3.5287328614685967e-12
-0.2456907,3.524325276060837e-12
-0.21129339999999996,3.5042385659878054e-12
-0.5416554,3.481281929396118e-12
-0.40163790000000005,3.4764413570087527e-12
0.11586884,3.4747316135508298e-12
0.23163502,3.4695801787165693e-12
-0.2512643,3.461808617544193e-12
-0.18616404,3.45743433882717e-12
-0.12989694,3.450395524851047e-12
0.67501837,3.418421101741842e-12
0.060006622,3.3581581959651883e-12
-0.43591008,3.3512304042915276e-12
-0.14562047,3.349970301158578e-12
0.34817636,3.276312554589822e-12
-0.26530325,3.2515938075752813e-12
0.10435594599999999,3.2120528459245173e-12
-0.39567426,3.203361881309873e-12
-0.27490237,3.194416953178348e-12
-0.39043805,3.1899816121949697e-12
-0.14979316,3.1867841698840493e-12
-0.22072886,3.1847302572884928e-12
0.000122,3.165423478890261e-12
-0.13413437,3.1620039919744158e-12
-0.09285864,3.142730520266924e-12
0.091680735,3.1273261758002483e-12
0.08709092,3.11669752506294e-12
-0.5689812,3.1164404390438e-12
-0.28145820000000005,3.1160851676759194e-12
-0.31993693,3.097255785178276e-12
-0.31948432,3.0957458818647865e-12
-0.20579022,3.093703071499476e-12
-0.17592387,3.0772273618140386e-12
0.020872919,3.0688253804464493e-12
0.2236567,3.0618230173473653e-12
0.5933725000000001,3.0596858380249615e-12
-0.115585566,3.0577762544226065e-12
0.03873482,3.053728797608457e-12
-0.13372247,3.043743035391344e-12
0.07109379,3.0292768293804783e-12
0.081577666,2.990691028159631e-12
-0.01583365,2.9902302856044115e-12
-0.06092621,2.976396906717582e-12
0.24823087,2.9703128845426364e-12
0.18741660000000002,2.962385892146813e-12
-0.55078274,2.9462654538292553e-12
0.30700284,2.9456166672492403e-12
-0.6843148,2.9448443683577347e-12
-0.09095434,2.916872139290132e-12
0.3729876,2.9060504003197715e-12
0.46088982,2.897715400962397e-12
0.123325214,2.890487849072088e-12
0.06633764,2.8890348446886097e-12
-0.049926307,2.8820858893885413e-12
-0.08237087,2.8764046700047173e-12
-0.33903673,2.8684055131122927e-12
-0.16572283,2.8511526473096184e-12
-0.10163427,2.849276370398001e-12
0.040122807,2.8489210990301216e-12
-0.23784941,2.8460511725114657e-12
-0.44291666,2.8260727091833364e-12
-0.28399050000000003,2.8249402816982182e-12
-0.17563114,2.816147315343187e-12
-0.006605201,2.81304424198936e-12
0.43424216,2.808420163091796e-12
-0.23803833,2.807062850392061e-12
0.28032067,2.8029689680408862e-12
0.16064103,2.7940324966863054e-12
-0.13820896,2.790223607718189e-12
-0.34775716,2.7782220968219917e-12
-0.13076757,2.775499383274316e-12
-0.0990433,2.7481572573151426e-12
0.3592855,2.7475355325034087e-12
-0.60984993,2.731417869661357e-12
-0.19962083,2.727418291215145e-12
0.47783947,2.7219175535459637e-12
0.020000082,2.707878365981742e-12
0.1909719,2.6961544108417e-12
-0.5328252,2.692974857866625e-12
0.04010561,2.6812441156209843e-12
0.032197832999999995,2.6410873488202923e-12
0.21645513,2.635680562690368e-12
1.2333621000000001,2.6292967802987727e-12
-0.15320008,2.617017713646419e-12
0.4091837,2.616429295443368e-12
-0.0748941,2.597522197334001e-12
-0.22533591,2.5934324132670387e-12
-0.14155796,2.572753186960854e-12
0.41840968,2.561506562415161e-12
-0.21611199,2.550215594254723e-12
-0.2705469,2.539901969300651e-12
0.10116571,2.536873836000986e-12
-0.11031452,2.5355717525599177e-12
0.08640066,2.5337509867995323e-12
-0.038692582,2.5289646678888773e-12
0.023856992,2.522849984476494e-12
-0.18616325,2.50295340009643e-12
-0.15487939,2.475197824480801e-12
0.092647694,2.4619861704877616e-12
-0.37952206,2.4233060003098218e-12
-0.09342308,2.4209079185766308e-12
-0.030221308,2.4054480629587267e-12
-0.13530894,2.3935520232498684e-12
-0.14465103,2.382893882213466e-12
-0.04643116,2.3693991213491474e-12
-0.281596,2.354827444150942e-12
0.5822868,2.35471642184848e-12
-0.015890457,2.3433477380763183e-12
-0.1513759,2.3310353647332244e-12
-0.0933549,2.327521252378709e-12
-0.5051875,2.3225865675158275e-12
-0.23921934,2.3095747536672206e-12
-0.3364882,2.3051692499276293e-12
-0.1569178,2.2850832337439898e-12
0.49116087,2.278725732413056e-12
0.12721676,2.26501595257389e-12
0.4095203,2.2604806915182957e-12
-0.19649942,2.2573054536678683e-12
0.08109651,2.2498801433012973e-12
-0.07516507,2.225197803795709e-12
0.21713369,2.224886941348813e-12
0.030914295,2.2247703679312277e-12
0.31702727,2.2239321495476362e-12
1.5883756000000002,2.214499417174665e-12
-0.17164970000000002,2.2088109119522407e-12
-0.031889454,2.201449092464891e-12
-0.2620549,2.201387336309146e-12
-0.07254767,2.188771386357757e-12
-0.27391973,2.182175493363643e-12
0.14949971,2.177856647193194e-12
0.31340292,2.1475266009929333e-12
0.0772837,2.138023091902141e-12
-0.16515483,2.1195489807723797e-12
-0.12740763,2.112986174918064e-12
-0.082462534,2.111838481866357e-12
0.07110505,2.1042279030325518e-12
-0.008572452,2.1034281955101265e-12
0.28845057,2.1032064978498966e-12
0.32104596,2.1028512264820164e-12
-0.097436115,2.0902391067712642e-12
-0.053255923,2.083400119090584e-12
-0.06307239,2.0793695758303254e-12
0.36965385,2.0780946408116563e-12
-0.32895926,2.0718537996344816e-12
0.061191123,2.069321103359556e-12
-0.06354529,2.0483109999802627e-12
-0.112971395,2.0452567590922843e-12
-0.29818946,2.0428547742312732e-12
-0.12337602,2.0328627670096468e-12
-0.18888184,2.02202048507627e-12
0.104777485,2.02153849215847e-12
1.9135466,2.0171420089809543e-12
-0.1572132,2.0126344276068244e-12
-0.11142316,2.0079240353743087e-12
-0.11696806,1.9998336320270484e-12
0.15376166,1.984459818693552e-12
0.51221806,1.9741208667767287e-12
0.32324496,1.9734559472683875e-12
-0.04615825,1.9666490658210023e-12
-0.024225727000000002,1.9602097722781764e-12
-0.078745894,1.9566265274661985e-12
-0.08710728599999999,1.951416805923145e-12
0.015027408999999999,1.946887095982674e-12
0.43742815,1.943778471513724e-12
-0.0376968,1.9419132968323547e-12
-0.28100824,1.9345414159488427e-12
0.26061907,1.9326762412674725e-12
0.10607695,1.929167936509657e-12
0.17265873,1.9237788445591875e-12
-0.03788249,1.919553405116403e-12
0.41020748,1.9097112780031013e-12
-0.24784741,1.908606606093599e-12
0.29026446,1.9068580122413533e-12
0.10490913,1.9065637957282887e-12
-0.15882125,1.8994916750614264e-12
0.119982496,1.8950174762721867e-12
-0.34468117,1.892175305329147e-12
-0.09817347,1.884759015524651e-12
-0.14124118,1.884341714239977e-12
-0.25291577,1.8835634441050074e-12
-0.066123806,1.8818429453615343e-12
-0.21315014,1.878759300910637e-12
-0.25472352,1.877342725720154e-12
-0.17054558,1.8562928971732617e-12
-0.03175108,1.847673403165828e-12
-0.48173842,1.8465229345565604e-12
-0.13512616,1.8462786854911427e-12
0.32395422,1.8428369941148048e-12
-0.41453892,1.838590178307995e-12
-0.30253685,1.822586526145642e-12
-0.3829247,1.821653938804957e-12
-0.30054784,1.8151473379912638e-12
-0.07467989,1.8138379687115962e-12
-0.2522396,1.8128915035831029e-12
0.117634036,1.8086927788818488e-12
-0.037191495,1.7952986319791365e-12
-0.309562,1.7949525912375025e-12
0.49713117,1.7832721410648847e-12
0.11000229,1.775939117987235e-12
-0.55551374,1.759259404821023e-12
-0.18529265,1.7576357036475088e-12
0.21164352,1.7535306540139572e-12
0.002533984,1.7410184405264318e-12
-0.30810907,1.7362111748298048e-12
0.10636693,1.7302825838783065e-12
-0.073628284,1.7279774833234286e-12
-0.12603231,1.7182255618308772e-12
0.014181165,1.717948266791462e-12
-0.1579654,1.7177070096158212e-12
0.037641276,1.7172041566482222e-12
0.47978947,1.7148948927570018e-12
0.08598996,1.7092327553314135e-12
0.42496556,1.70606124459536e-12
-0.16557905,1.6971505797935824e-12
0.061512142,1.687983086640088e-12
-0.14922874,1.6879233687844276e-12
-0.14776188,1.6727508267422308e-12
-0.5357486,1.6720846929274555e-12
0.0072265,1.6683598946798386e-12
0.5229944999999999,1.6611267916744055e-12
-0.11018734,1.6599832619590415e-12
0.081778355,1.6598625252051137e-12
-0.113282405,1.6595169684581059e-12
-0.074513875,1.656468105043496e-12
-0.13988942,1.6526037482922361e-12
0.24123277,1.6494608630346352e-12
-0.13609019,1.6484492590396192e-12
-0.44648567,1.647437741780777e-12
0.023277497,1.6471934927153598e-12
0.49477682,1.6419754444996216e-12
-0.07435083,1.6419514402635229e-12
-0.1953846,1.639222091398551e-12
-0.20714858,1.6369350319678236e-12
0.005180273,1.6366880073448442e-12
-0.4038949,1.625425228440891e-12
0.3972366,1.6232323644949087e-12
0.5104911,1.6145307313308876e-12
0.20737393,1.6133316904642925e-12
-0.12760606,1.6122200796608865e-12
-0.107058875,1.609379296496627e-12
0.37663034,1.607514121815257e-12
-0.31902248,1.6041008799039246e-12
-0.05155024,1.5987322576904717e-12
-0.110271715,1.5946466369598508e-12
-0.000798,1.5765611038887073e-12
0.3337329,1.5631940186722204e-12
0.50508684,1.559330442546525e-12
-0.18635087,1.557768866157494e-12
0.09927527,1.554029387812461e-12
0.09979339,1.5449863610683678e-12
0.21406384,1.5294432387236154e-12
0.35342512,1.5221806806556617e-12
0.12149157,1.5196621726286178e-12
0.12607674,1.5156369215230118e-12
0.58123165,1.511757385941337e-12
-0.28171736,1.5064394176533823e-12
-0.24809265,1.5049295143398925e-12
-0.082133405,1.4943985285342798e-12
-0.4372264,1.4937498083616478e-12
-0.22776082,1.4709262616523916e-12
0.17726776,1.46990475347053e-12
0.010549975,1.4637291378960529e-12
-0.23786508,1.462474585878226e-12
-0.15234627,1.459898868461096e-12
-0.1565532,1.4582113294636656e-12
-0.04009296,1.4501289058443943e-12
-0.07068237,1.4324541552923615e-12
0.2928097,1.4289458505345462e-12
-0.14191121,1.4277155846453835e-12
-0.031591926,1.427653828489639e-12
-0.02012698,1.427202800385885e-12
0.007731588,1.419997452956068e-12
-0.1621434,1.418046235990289e-12
0.49764895,1.4165113526587444e-12
-0.07545286,1.4128949881745237e-12
0.101008825,1.4120572766618266e-12
-0.37525812,1.4098056055900087e-12
0.91079533,1.4093615163801587e-12
0.002696064,1.3991002800750607e-12
0.35889974,1.3936901871285099e-12
0.7406974000000001,1.3919532193540365e-12
0.48009127,1.3894052575125215e-12
-0.20628436,1.3876899629394757e-12
-0.1897432,1.3864465131518955e-12
-0.16477023,1.3806776951506195e-12
0.17870209,1.3789438341182958e-12
0.2366955,1.3741452420390488e-12
-0.3320387,1.3697475906336923e-12
0.11750496,1.3669455758286153e-12
-0.62128365,1.3564260825660313e-12
